Rank,Company,股票代码,部门,行业,盈利,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,资产,更新市值
773,Frontier Group Holdings,ULCC,Transportation,Airlines,0,0,0,1,40,1,0,0,0,0,7214,1811.6,3589,7.9,-11,,4993,1812
774,Qorvo,QRVO,Tech0logy,Semiconductors and Other Electronic Components,1,0,0,0,-131,0,1,0,0,0,8500,11086.7,3569.4,-23.2,103.2,-90,6691.9,11087
775,Five Below,FIVE,Retailing,Specialty Retailers: Other,1,0,0,1,72,1,0,0,0,0,14500,10018.5,3559.4,15.7,301.1,15.1,3872,10019
776,TreeHouse Foods,THS,"Food, Beverages & Tobacco",Food Consumer Products,1,0,0,0,-132,0,1,0,0,0,7400,2097.9,3552.9,-23.4,53.1,,4106.6,2098
777,Scotts Miracle-Gro,SMG,Chemicals,Chemicals,0,0,0,0,-54,0,1,0,0,0,6375,4228.7,3551.3,-9.5,-380.1,,3413.7,4229
778,Atlassian,TEAM,Tech0logy,Computer Software,0,1,0,1,105,1,0,0,0,1,10726,50612.9,3534.6,26.1,-486.8,,4106.8,50613
779,Entegris,ENTG,Tech0logy,Semiconductors and Other Electronic Components,1,0,0,0,43,1,0,0,0,0,8000,21184.1,3523.9,7.4,180.7,-13.5,8812.6,21184
780,Atkore,ATKR,Industrials,"Electronics, Electrical Equip.",1,0,0,1,-54,0,1,0,0,0,5208,6999.2,3518.8,-10.1,689.9,-24.5,2935,6999
781,H.B. Fuller,FUL,Chemicals,Chemicals,1,0,1,1,-33,0,1,0,0,0,7200,4345,3510.9,-6.4,144.9,-19.6,4723.6,4345
782,Granite Construction,GVA,Engineering & Construction,Engineering & Construction,1,0,0,1,38,1,0,0,1,0,4100,2512.1,3509.1,6.3,43.6,-47.7,2813.5,2512
783,Winnebago Industries,WGO,Motor Vehicles & Parts,Motor Vehicles & Parts,1,0,0,0,-162,0,1,0,0,0,6250,2165.9,3490.7,-29.6,215.9,-44.7,2432.4,2166
784,FTI Consulting,FCN,Business Services,Diversified Outsourcing Services,1,0,0,1,71,1,0,0,0,0,7990,7472.3,3489.2,15.2,274.9,16.7,3325.9,7472
785,AptarGroup,ATR,Materials,"Packaging, Containers",1,0,0,1,29,1,0,0,0,0,13800,9520.6,3487.5,5,284.5,18.9,4451.9,9521
786,Columbia Sportswear,COLM,Apparel,Apparel,1,0,0,1,8,1,0,0,0,0,10070,4854.2,3487.2,0.7,251.4,-19.3,2939,4854
787,Roku,ROKU,Media,Entertainment,0,1,0,0,55,1,0,0,0,0,3150,9353.3,3484.6,11.5,-709.6,,4261.8,9353
788,Civitas Resources,CIVI,Energy,"Mining, Crude-Oil Production",1,0,0,1,-46,0,1,0,0,0,516,7668.5,3479.2,-8.2,784.3,-37.2,14097.3,7669
789,H&R Block,HRB,Financials,Diversified Financials,1,0,0,1,6,1,0,0,0,0,39200,6851.9,3472.2,0.3,553.7,,3072.3,6852
790,Alpha Metallurgical Resources,AMR,Energy,"Mining, Crude-Oil Production",1,0,0,1,-91,0,1,0,0,0,4160,4307.6,3471.4,-15.4,722,-50.2,2406.1,4308
791,Patrick Industries,PATK,Motor Vehicles & Parts,Motor Vehicles & Parts,1,0,0,0,-165,0,1,0,0,0,10000,2674,3468,-29,142.9,-56.5,2562.4,2674
792,Murphy Oil,MUR,Energy,"Mining, Crude-Oil Production",1,0,0,1,-73,0,1,0,0,0,725,6972.7,3460.1,-12,661.6,-31.4,9766.7,6973
793,Sy0vus Financial,SNV,Financials,Commercial Banks,1,0,0,0,163,1,0,0,0,0,4798,5865.5,3454.4,39,543.7,-28.3,59809.5,5866
794,Cracker Barrel Old Country Store,CBRL,"Hotels, Restaurants & Leisure",Food Services,1,0,1,1,31,1,0,0,0,0,77000,1614.7,3442.8,5.4,99.1,-24.9,2218.1,1615
795,Cheesecake Factory,CAKE,"Hotels, Restaurants & Leisure",Food Services,1,1,0,1,24,1,0,0,0,1,47900,1847.8,3439.5,4.1,101.4,135,2840.4,1848
796,CNX Resources,CNX,Energy,"Mining, Crude-Oil Production",1,0,0,1,0,0,0,0,0,0,470,3632.4,3434.9,172.4,1720.7,,8626.7,3632
797,Chefs' Warehouse,CHEF,Wholesalers,Wholesalers: Food and Grocery,1,1,0,1,131,1,0,0,0,0,4873,1499.2,3433.8,31.4,34.6,24.6,1705.3,1499
798,Donaldson,DCI,Industrials,Industrial Machinery,1,0,0,0,20,1,0,0,0,0,13000,8989.2,3430.8,3.8,358.8,7.8,2770.5,8989
799,Mueller Industries,MLI,Industrials,Industrial Machinery,1,0,0,0,-88,0,1,0,0,0,4509,6126.3,3420.3,-14.1,602.9,-8.4,2759.3,6126
800,MRC Global,MRC,Wholesalers,Wholesalers: Diversified,1,0,0,0,4,1,0,0,0,0,2800,1060.8,3412,1.5,114,52,1886,1061
801,Chart Industries,GTLS,Industrials,Industrial Machinery,1,0,1,1,0,0,0,0,0,0,11637,6964,3411.3,111.6,47.3,97.1,9102.4,6964
802,Alight,ALIT,Business Services,Diversified Outsourcing Services,0,0,0,0,39,1,0,0,0,0,18000,5545.4,3410,8.9,-345,,10782,5545
803,Vishay Intertech0logy,VSH,Tech0logy,Semiconductors and Other Electronic Components,1,0,0,0,-14,0,1,0,0,0,23500,3118.6,3402,-2.7,323.8,-24.5,4239.9,3119
804,Range Resources,RRC,Energy,"Mining, Crude-Oil Production",1,0,0,1,-111,0,1,0,0,0,548,8352.5,3374.4,-18.6,871.1,-26.4,7203.9,8353
805,Valley National Bancorp,VLY,Financials,Commercial Banks,1,0,0,0,0,0,0,0,0,0,3749,4050.7,3364.6,54.1,498.5,-12.4,60935,4051
806,Match Group,MTCH,Tech0logy,Internet Services and Retailing,1,0,0,0,30,1,0,0,0,0,2610,9723.5,3364.5,5.5,651.5,80,4507.9,9724
807,Gen Digital,GEN,Tech0logy,Computer Software,1,0,0,1,79,1,0,0,0,0,3700,14266.8,3338,19.4,1349,61.4,15947,14267
808,Wintrust Financial,WTFC,Financials,Commercial Banks,1,0,0,1,0,0,0,0,0,0,5521,6417.1,3327.2,50.7,622.6,22.2,56259.9,6417
809,Moog,MOG.A,Aerospace & Defense,Aerospace & Defense,1,0,0,0,44,1,0,0,0,0,13500,5306.8,3319.1,9.3,171,10.2,3808,5307
810,First Solar,FSLR,Energy,Energy,1,0,0,1,115,1,0,0,0,0,6700,18068,3318.6,26.7,830.8,,10365.1,18068
811,Central Garden & Pet,CENT,Household Products,Household and Personal Products,1,0,1,0,0,0,0,0,0,0,6500,2435.1,3310.1,-0.9,125.6,-17.4,3378.6,2435
812,Green Plains,GPRE,Energy,Energy,0,0,0,1,-52,0,1,0,0,0,921,1494.6,3295.7,-10,-93.4,,1939.3,1495
813,Werner Enterprises,WERN,Transportation,"Trucking, Truck Leasing",1,0,0,0,8,1,0,0,0,0,13809,2482.9,3283.5,-0.2,112.4,-53.4,3157.9,2483
